Neighborhood,Neighborhood Name
1,Carondelet,63111
2,Patch,63111
3,Holly Hills,63116
4,Boulevard Heights,63116
5,Bevo Mill,63116
6,Princeton Heights,63109
7,Southampton,63109
8,St. Louis Hills,63109
9,Lindenwood Park,63139
10,Ellendale,63139
11,Clifton Heights,63139
12,The Hill,63110
13,Southwest Garden,63139
14,North Hampton,63139
15,Tower Grove South,63116
16,Dutchtown,63116
17,Mount Pleasant,63111
18,Marine Villa,63118
19,Gravois Park,63118
20,Kosciusko,63104
21,Soulard,63104
22,Benton Park,63118
23,McKinley Heights,63104
24,Fox Park,63104
25,Tower Grove East,63118
26,Compton Heights,63104
27,Shaw,63110
28,Botanical Heights,63110
29,Tiffany,63110
30,Benton Park West,63118
31,Gate District,63104
32,Lafayette Square,63104
33,Peabody/Darst/Webbe,63104
34,LaSalle Park,63104
35,Downtown,63101
36,Downtown West,63103
37,Midtown,63103
38,Central West End,63108
39,Forest Park Southeast,63110
40,Kings Oak,63110
41,Cheltenham,63110
42,Clayton/Tamm,63139
43,Franz Park,63139
44,Hi-Pointe,63139
45,Wydown/Skinker,NAN
46,Skinker/DeBaliviere,63112
47,DeBaliviere Place,63112
48,West End,63112
49,Visitation Park,63112
50,Wells/Goodfellow,63120
51,Academy,63113
52,Kingsway West,63115
53,Fountain Park,63113
54,Lewis Place,63113
55,Kingsway East,63115
56,Greater Ville,63115
57,The Ville,63115
58,Vandeventer,63113
59,JeffVanderLou,63106
60,St. Louis Place,63106
61,Carr Square,63106
62,Columbus Square,63106
63,Old North St. Louis,63106
64,Near North Riverfront,63147
65,Hyde Park,63107
66,College Hill,63107
67,Fairground,63107
68,O'Fallon,63115
69,Penrose,63115
70,Mark Twain/I-70 Industrial,63120
71,Mark Twain,63115
72,Walnut Park East,63120
73,North Point,63147
74,Baden,63147
75,Riverview,NAN
76,Walnut Park West,NAN
77,Grand Center,63106
78,Hamilton Heights,63112
79,North Riverfront,63147
80,Carondelet Park,Park
81,Tower Grove Park,Park
82,Forest Park,Park
83,Fairgrounds Park,Park
84,Penrose Park,Park
85,O’Fallon Park,Park
86,Cal-Bel Cemetery,Park
87,Botanical Garden,Park
88,Wilmore Park,Park
