Barnes-Jewish Hospital College,4483 Duncan Ave,Saint Louis,63110,MO,Colleges & Universities,38.6370424,-90.2592471
St. Louis College of Pharmacy,4588 Parkview Pl,Saint Louis,63110,MO,Colleges & Universities,38.6374796926975,-90.2621738612652
Saint Louis University,3500 Lindell Blvd,Saint Louis,63103,MO,Colleges & Universities,38.63657,-90.23095
Harris Stowe State University,3026 Laclede Ave,Saint Louis,63103,MO,Colleges & Universities,38.63192,-90.22492
St Louis Community College,5600 Oakland Ave,Saint Louis,63110,MO,Colleges & Universities,38.6287017956513,-90.2794146111879
Washington University in St. Louis North Campus,700 Rosedale Ave,Saint Louis,63112,MO,Colleges & Universities,38.6585134546056,-90.2981359139085
St. Louis Community College-William J. Harrison Education Center,3140 Cass Ave,Saint Louis,63106,MO,Colleges & Universities,38.646754,-90.22365
Broadcast Center,2360 Hampton Ave,Saint Louis,63139,MO,Colleges & Universities,38.613182,-90.286811
St. Louis University,One Grand Blvd,Saint Louis,63103,MO,Colleges & Universities,38.6346385,-90.2339157
Practical Anatomy & Surgical Technique Workshop,3839 Lindell Blvd,Saint Louis,63108,MO,Colleges & Universities,38.6394,-90.23957
Saint Louis University School of Medicine,1402 S Grand Blvd,Saint Louis,63104,MO,Colleges & Universities,38.6221351623535,-90.2374267578125
