dname,dphone,daddress1,dfax,daddress2,ctydist,dcity1,ctydist1,dsuparea,dcounty,dcounty1,Textbox3,Textbox5,Textbox6,dzip,Tax_Levy,delemsn,delemst,delemsrs,delemsns,delemsts,dmidssn,dmidsst,dmidssrs,dmidssns,dmidssts,djrsn,djrst,djrsrs,djrsns,djrsts,dhighsn,dhighst,dhighsrs,dhighsns,dhighsts,dtotschl,dtottech,dtotres,dtotnres,dtotstu,SDLNAME,SDTITLE,SDYRSEXP,SCHNAME,SCHNAME8,SCHNAME6,SCHNAME3,SCHNAME10,SCHNAME5
St. Louis City  (115-115),Phone: 314-231-3720,801 N 11th St. ,Fax: 314-345-2661,"St. Louis, MO 63101-1401",E-mail: kelvin.adams@slps.org,,County-District Code: 115-115,Supervisory Area: A,County: St. Louis City ,MSIP: Accredited,"Congressional District: 01, 02","House District: 66 , 76 , 77 , 78 , 79 , 80 , 81 , 82 , 83 , 84 , 91 , 93 ","Senate District: 4  , 5  ",Assessed Valuation: $0,Tax Levy: $0.0000,48,"1,205","13,535",11,"13,546",7,214,"2,584",1,"2,585",1,32,301,0,301,16,727,"6,550",5,"6,555",72,"2,178","22,970",17,"22,987",,,,,,,,,
St. Louis City  (115-115),Phone: 314-231-3720,801 N 11th St. ,Fax: 314-345-2661,"St. Louis, MO 63101-1401",E-mail: kelvin.adams@slps.org,,County-District Code: 115-115,Supervisory Area: A,County: St. Louis City ,MSIP: Accredited,"Congressional District: 01, 02","House District: 66 , 76 , 77 , 78 , 79 , 80 , 81 , 82 , 83 , 84 , 91 , 93 ","Senate District: 4  , 5  ",Assessed Valuation: $0,Tax Levy: $0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,Mr. Rick Sullivan,Pres. of Bd.,,,,,,,
St. Louis City  (115-115),Phone: 314-231-3720,801 N 11th St. ,Fax: 314-345-2661,"St. Louis, MO 63101-1401",E-mail: kelvin.adams@slps.org,,County-District Code: 115-115,Supervisory Area: A,County: St. Louis City ,MSIP: Accredited,"Congressional District: 01, 02","House District: 66 , 76 , 77 , 78 , 79 , 80 , 81 , 82 , 83 , 84 , 91 , 93 ","Senate District: 4  , 5  ",Assessed Valuation: $0,Tax Levy: $0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,Ms. Ruth Lewis,Secy. of Bd.,,,,,,,
St. Louis City  (115-115),Phone: 314-231-3720,801 N 11th St. ,Fax: 314-345-2661,"St. Louis, MO 63101-1401",E-mail: kelvin.adams@slps.org,,County-District Code: 115-115,Supervisory Area: A,County: St. Louis City ,MSIP: Accredited,"Congressional District: 01, 02","House District: 66 , 76 , 77 , 78 , 79 , 80 , 81 , 82 , 83 , 84 , 91 , 93 ","Senate District: 4  , 5  ",Assessed Valuation: $0,Tax Levy: $0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,Dr. Kelvin R Adams,Supt. ,13,,,,,,
St. Louis City  (115-115),Phone: 314-231-3720,801 N 11th St. ,Fax: 314-345-2661,"St. Louis, MO 63101-1401",E-mail: kelvin.adams@slps.org,,County-District Code: 115-115,Supervisory Area: A,County: St. Louis City ,MSIP: Accredited,"Congressional District: 01, 02","House District: 66 , 76 , 77 , 78 , 79 , 80 , 81 , 82 , 83 , 84 , 91 , 93 ","Senate District: 4  , 5  ",Assessed Valuation: $0,Tax Levy: $0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,Ms. Angie Banks,Chief Fin. Off./Treas. ,12,,,,,,
St. Louis City  (115-115),Phone: 314-231-3720,801 N 11th St. ,Fax: 314-345-2661,"St. Louis, MO 63101-1401",E-mail: kelvin.adams@slps.org,,County-District Code: 115-115,Supervisory Area: A,County: St. Louis City ,MSIP: Accredited,"Congressional District: 01, 02","House District: 66 , 76 , 77 , 78 , 79 , 80 , 81 , 82 , 83 , 84 , 91 , 93 ","Senate District: 4  , 5  ",Assessed Valuation: $0,Tax Levy: $0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,Mr. Stacy Clay,Deputy Supt Support Services . ,4,,,,,,
St. Louis City  (115-115),Phone: 314-231-3720,801 N 11th St. ,Fax: 314-345-2661,"St. Louis, MO 63101-1401",E-mail: kelvin.adams@slps.org,,County-District Code: 115-115,Supervisory Area: A,County: St. Louis City ,MSIP: Accredited,"Congressional District: 01, 02","House District: 66 , 76 , 77 , 78 , 79 , 80 , 81 , 82 , 83 , 84 , 91 , 93 ","Senate District: 4  , 5  ",Assessed Valuation: $0,Tax Levy: $0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,Col. Lisa Taylor-Brown,Dir. Security ,29,,,,,,
St. Louis City  (115-115),Phone: 314-231-3720,801 N 11th St. ,Fax: 314-345-2661,"St. Louis, MO 63101-1401",E-mail: kelvin.adams@slps.org,,County-District Code: 115-115,Supervisory Area: A,County: St. Louis City ,MSIP: Accredited,"Congressional District: 01, 02","House District: 66 , 76 , 77 , 78 , 79 , 80 , 81 , 82 , 83 , 84 , 91 , 93 ","Senate District: 4  , 5  ",Assessed Valuation: $0,Tax Levy: $0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,Ms. Melody Ellington,Dir. Bud ,3,,,,,,
St. Louis City  (115-115),Phone: 314-231-3720,801 N 11th St. ,Fax: 314-345-2661,"St. Louis, MO 63101-1401",E-mail: kelvin.adams@slps.org,,County-District Code: 115-115,Supervisory Area: A,County: St. Louis City ,MSIP: Accredited,"Congressional District: 01, 02","House District: 66 , 76 , 77 , 78 , 79 , 80 , 81 , 82 , 83 , 84 , 91 , 93 ","Senate District: 4  , 5  ",Assessed Valuation: $0,Tax Levy: $0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,Ms. Paula Knight,Dir. Early Child. ,26,,,,,,
St. Louis City  (115-115),Phone: 314-231-3720,801 N 11th St. ,Fax: 314-345-2661,"St. Louis, MO 63101-1401",E-mail: kelvin.adams@slps.org,,County-District Code: 115-115,Supervisory Area: A,County: St. Louis City ,MSIP: Accredited,"Congressional District: 01, 02","House District: 66 , 76 , 77 , 78 , 79 , 80 , 81 , 82 , 83 , 84 , 91 , 93 ","Senate District: 4  , 5  ",Assessed Valuation: $0,Tax Levy: $0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,Dr. Latisha Smith,Dir Teaching/Learning Supp ,14,,,,,,
St. Louis City  (115-115),Phone: 314-231-3720,801 N 11th St. ,Fax: 314-345-2661,"St. Louis, MO 63101-1401",E-mail: kelvin.adams@slps.org,,County-District Code: 115-115,Supervisory Area: A,County: St. Louis City ,MSIP: Accredited,"Congressional District: 01, 02","House District: 66 , 76 , 77 , 78 , 79 , 80 , 81 , 82 , 83 , 84 , 91 , 93 ","Senate District: 4  , 5  ",Assessed Valuation: $0,Tax Levy: $0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,Ms. Karen Jones,Network Supt ,26,,,,,,
St. Louis City  (115-115),Phone: 314-231-3720,801 N 11th St. ,Fax: 314-345-2661,"St. Louis, MO 63101-1401",E-mail: kelvin.adams@slps.org,,County-District Code: 115-115,Supervisory Area: A,County: St. Louis City ,MSIP: Accredited,"Congressional District: 01, 02","House District: 66 , 76 , 77 , 78 , 79 , 80 , 81 , 82 , 83 , 84 , 91 , 93 ","Senate District: 4  , 5  ",Assessed Valuation: $0,Tax Levy: $0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,Ms. Cheryl Vannoy,Deputy Supt Account/Technology ,9,,,,,,
St. Louis City  (115-115),Phone: 314-231-3720,801 N 11th St. ,Fax: 314-345-2661,"St. Louis, MO 63101-1401",E-mail: kelvin.adams@slps.org,,County-District Code: 115-115,Supervisory Area: A,County: St. Louis City ,MSIP: Accredited,"Congressional District: 01, 02","House District: 66 , 76 , 77 , 78 , 79 , 80 , 81 , 82 , 83 , 84 , 91 , 93 ","Senate District: 4  , 5  ",Assessed Valuation: $0,Tax Levy: $0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,Mr. Dan Edwards,Director To/Thrugh College ,14,,,,,,
St. Louis City  (115-115),Phone: 314-231-3720,801 N 11th St. ,Fax: 314-345-2661,"St. Louis, MO 63101-1401",E-mail: kelvin.adams@slps.org,,County-District Code: 115-115,Supervisory Area: A,County: St. Louis City ,MSIP: Accredited,"Congressional District: 01, 02","House District: 66 , 76 , 77 , 78 , 79 , 80 , 81 , 82 , 83 , 84 , 91 , 93 ","Senate District: 4  , 5  ",Assessed Valuation: $0,Tax Levy: $0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,Mr. Louis Kruger,Exec. Dir. Business ,21,,,,,,
St. Louis City  (115-115),Phone: 314-231-3720,801 N 11th St. ,Fax: 314-345-2661,"St. Louis, MO 63101-1401",E-mail: kelvin.adams@slps.org,,County-District Code: 115-115,Supervisory Area: A,County: St. Louis City ,MSIP: Accredited,"Congressional District: 01, 02","House District: 66 , 76 , 77 , 78 , 79 , 80 , 81 , 82 , 83 , 84 , 91 , 93 ","Senate District: 4  , 5  ",Assessed Valuation: $0,Tax Levy: $0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,Ms. Candice Boyd,Director Special Education ,7,,,,,,
St. Louis City  (115-115),Phone: 314-231-3720,801 N 11th St. ,Fax: 314-345-2661,"St. Louis, MO 63101-1401",E-mail: kelvin.adams@slps.org,,County-District Code: 115-115,Supervisory Area: A,County: St. Louis City ,MSIP: Accredited,"Congressional District: 01, 02","House District: 66 , 76 , 77 , 78 , 79 , 80 , 81 , 82 , 83 , 84 , 91 , 93 ","Senate District: 4  , 5  ",Assessed Valuation: $0,Tax Levy: $0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,Dr. Latisha Smith,Dir.Pd/Leadership Development ,14,,,,,,
